time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
528587,335600,0.29521733333333344,3.76,25,20365,8.89,6.835875511169434,0.001,69646
529017,335700,0.2946439999999999,4.3,25,20375,11.0,0.9342017769813538,0.001,69754
529396,335800,0.29413866666666655,3.79,25,20384,10.01,5.615193843841553,0.001,69848
529817,335900,0.29357733333333336,4.21,25,20394,11.47,11.532838821411133,0.001,69954
530228,336000,0.29302933333333336,4.11,25,20404,10.83,17.21139907836914,0.001,70056
530615,336100,0.2925133333333334,3.87,25,20414,9.8,1.7773905992507935,0.001,70153
530990,336200,0.29201333333333324,3.75,25,20423,9.56,8.124578475952148,0.001,70247
531356,336300,0.2915253333333334,3.66,26,20432,9.71,1.822160243988037,0.001,70338
531741,336400,0.29101200000000005,3.85,26,20442,10.01,10.066089630126953,0.001,70435
532147,336500,0.29047066666666677,4.06,26,20452,10.69,6.589114189147949,0.001,70536
532517,336600,0.2899773333333333,3.7,26,20461,10.13,1.0891164541244507,0.001,70629
532854,336700,0.289528,3.37,26,20470,7.18,12.455231666564941,0.001,70713
533195,336800,0.2890733333333333,3.41,26,20479,8.29,1.2000603675842285,0.001,70798
533542,336900,0.28861066666666657,3.47,26,20489,7.16,1.0145514011383057,0.001,70885
533890,337000,0.28814666666666655,3.48,26,20497,8.11,11.596179962158203,0.001,70972
534247,337100,0.28767066666666663,3.57,26,20507,8.91,2.5352325439453125,0.001,71061
534629,337200,0.2871613333333334,3.82,26,20516,9.81,7.083523750305176,0.001,71157
534918,337300,0.28677600000000014,2.89,26,20525,4.79,6.564082145690918,0.001,71229
535326,337400,0.28623200000000004,4.08,26,20534,10.46,12.182572364807129,0.001,71331
535689,337500,0.2857479999999999,3.63,26,20543,9.3,1.0147719383239746,0.001,71422
536084,337600,0.2852213333333333,3.95,26,20554,10.72,5.723475933074951,0.001,71520
536464,337700,0.28471466666666667,3.8,26,20564,9.04,1.9791548252105713,0.001,71615
536807,337800,0.28425733333333336,3.43,26,20573,7.25,1.133350133895874,0.001,71701
537148,337900,0.28380266666666665,3.41,26,20582,7.02,11.53369140625,0.001,71786
537498,338000,0.28333600000000003,3.5,26,20591,7.2,6.777365207672119,0.001,71874
537870,338100,0.28284,3.72,26,20600,8.88,5.627808570861816,0.001,71967
538252,338200,0.28233066666666673,3.82,26,20610,9.38,3.554046630859375,0.001,72062
538601,338300,0.2818653333333332,3.49,26,20619,8.21,2.467160940170288,0.001,72150
538978,338400,0.28136266666666665,3.77,26,20629,8.81,1.6022247076034546,0.001,72244
539354,338500,0.2808613333333332,3.76,26,20638,10.51,1.4484648704528809,0.001,72338
539735,338600,0.28035333333333323,3.81,26,20647,9.12,3.8415870666503906,0.001,72433
540126,338700,0.27983199999999986,3.91,26,20657,9.93,1.1219581365585327,0.001,72531
540459,338800,0.27938799999999997,3.33,26,20666,6.57,9.7396821975708,0.001,72614
540852,338900,0.278864,3.93,26,20676,9.85,5.065403461456299,0.001,72712
541249,339000,0.2783346666666666,3.97,26,20685,10.26,2.5278356075286865,0.001,72812
541652,339100,0.27779733333333345,4.03,26,20695,11.11,13.754348754882812,0.001,72912
542039,339200,0.27728133333333327,3.87,26,20704,10.12,2.4148709774017334,0.001,73009
542384,339300,0.27682133333333336,3.45,26,20713,7.76,7.995993614196777,0.001,73095
542755,339400,0.27632666666666683,3.71,26,20723,8.96,4.612953186035156,0.001,73188
543146,339500,0.27580533333333346,3.91,26,20732,10.49,12.456571578979492,0.001,73286
543504,339600,0.275328,3.58,26,20741,8.01,3.116191864013672,0.001,73375
543889,339700,0.27481466666666665,3.85,26,20751,8.49,7.153083801269531,0.001,73472
544322,339800,0.2742373333333332,4.33,26,20761,11.29,18.84499168395996,0.001,73580
544769,339900,0.2736413333333334,4.47,26,20771,13.77,4.126821041107178,0.001,73692
545144,340000,0.27314133333333324,3.75,26,20780,9.06,9.50015640258789,0.001,73785
545539,340100,0.27261466666666667,3.95,26,20790,9.22,7.015948295593262,0.001,73884
545922,340200,0.2721040000000001,3.83,26,20800,9.49,12.441594123840332,0.001,73980
546294,340300,0.27160800000000007,3.72,26,20809,7.97,16.251949310302734,0.001,74073
546696,340400,0.271072,4.02,26,20819,10.28,4.335975646972656,0.001,74173
547024,340500,0.2706346666666666,3.28,26,20828,7.79,22.566768646240234,0.001,74255
547400,340600,0.27013333333333334,3.76,26,20837,8.54,2.605792999267578,0.001,74349
547761,340700,0.269652,3.61,26,20847,8.09,1.734163522720337,0.001,74440
548126,340800,0.2691653333333335,3.65,26,20856,8.58,7.22873592376709,0.001,74531
548526,340900,0.268632,4.0,26,20865,10.89,7.640522480010986,0.001,74631
548912,341000,0.2681173333333333,3.86,26,20875,9.54,8.277524948120117,0.001,74727
549265,341100,0.2676466666666668,3.53,26,20884,7.75,9.946598052978516,0.001,74816
549633,341200,0.26715599999999995,3.68,26,20893,8.06,10.384151458740234,0.001,74908
550070,341300,0.26657333333333333,4.37,26,20903,12.5,7.431535720825195,0.001,75017
